,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,AS,R7,ST,BS,P7,TO,PC1,PC2,cluster
99,KALAUS Dora,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,-0.3625752853163289,-0.06776338498627117,1
100,KALAUS Larissa,0,0,3,0,3,2,5,2,1,1,0,0,11,21,1,8,21,3,5,0,4,11,1.0921412443486562,-0.23437002175951632,4
101,KALININA Viktoriia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.3933286941521073,-0.12096358590256552,1
102,KANOR Orlane,0,0,0,0,5,0,0,0,1,0,0,0,5,4,0,3,8,1,1,1,2,6,0.1015606566826288,-0.09066801412397703,0
103,KLEMENCIC Valentina Tina,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,-0.32224395016174223,-0.05787204580523072,1
104,KLIKOVAC Andrea,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,4,6,3,0,0,3,7,0.13386980565156115,-0.10924258183265402,0
105,KLIKOVAC Bobana,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,2,1,2,4,1,3,2,0.031157261759254058,0.19958814081835904,3
106,KLUJBER Katrin Gitta,14,4,1,1,7,2,2,1,0,0,0,1,6,13,0,0,12,1,2,0,1,15,0.5488347995989666,-0.2818715139336993,4
107,KNEDLIKOVA Jana,0,0,0,0,7,2,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,2,-0.229874934446618,0.22342923403762052,2
108,KOCHANIAK Karolina,0,0,1,1,0,0,2,2,0,1,0,0,2,0,0,1,7,2,0,0,0,5,-0.08231264211955139,-0.13116701427876676,0
109,KONECNA Michaela,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,3,2,-0.03876328124136486,0.0086363094324708,3
110,KORDOVSKA Kamila,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,1,1,0,2,0,3,1,-0.17191244384097532,0.06471991275665981,3
111,KOUYATE Aissatou,0,0,1,1,3,7,3,0,1,0,0,0,4,4,0,2,4,4,2,0,0,6,0.1561072062769564,0.1055954541133545,3
112,KOVACSICS Aniko,2,1,1,1,2,1,3,5,3,0,0,0,7,11,0,3,19,4,0,0,4,20,0.8391104910557063,-0.4599673123285637,4
113,KOVAROVA Sara,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,3,1,0,2,3,-0.13308919160602206,-0.11410245825773233,0
114,KOZHOKAR Kristina,0,0,1,0,12,9,0,0,2,1,0,0,0,0,0,2,4,3,3,0,0,2,0.06698103387912116,0.6070171543871519,2
115,KRAMER Jessy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,1,-0.32022214370779833,-0.13916873719183875,0
116,KRISTIANSEN Veronica,1,2,0,1,2,2,7,0,4,2,0,0,5,9,0,0,19,3,2,0,0,15,0.502876939613551,-0.17350386742485704,4
117,KRPEZ-SLEZAK Katarina,6,2,4,0,4,8,0,0,2,2,0,0,0,0,0,0,4,2,0,0,1,3,-0.017656514751616798,0.32650400047095407,2
118,KRSNIK Dora,11,3,4,2,2,1,2,2,1,1,0,0,2,0,0,3,10,4,3,0,5,10,0.5962094548878754,0.018989802583530616,4
119,KUDLACKOVA Petra,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.4148509488456689,-0.03816287442999476,1
120,KVASOVA Hana,3,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,1,9,-0.11649278974039089,-0.2260746323563906,0
121,LABUDA Aneta,0,0,1,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,-0.24704102460622948,0.14391840249952972,2
122,LACRABERE Alexandra,16,7,3,2,5,1,1,0,1,0,0,0,5,4,0,1,13,1,2,0,2,11,0.480913115556821,-0.24124621362341828,4
123,LAGERQUIST Anna,0,0,5,0,1,0,0,0,0,1,0,0,1,0,0,3,7,7,1,2,8,4,0.3815756075100917,0.1493779345398797,4
124,LAKATOS Rita,0,0,1,2,2,0,3,0,0,1,0,0,1,2,0,2,2,1,0,0,1,7,-0.010908146958615613,-0.074900436215609,0
125,LASLO Cristina,1,0,4,0,2,1,5,1,3,2,0,0,7,12,0,1,13,2,2,0,4,18,0.6592767087356958,-0.18432186959658667,4
126,LASSOURCE Coralie,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.3924156881841096,-0.01871978699556484,1
127,LAUENROTH Antje,0,0,1,1,7,7,0,0,7,3,0,0,0,0,0,4,1,0,5,0,4,2,0.2531006280551705,0.7314732391758574,2
128,LAVKO Jelena,0,0,0,0,1,1,2,1,0,0,0,0,7,4,0,1,11,2,1,0,1,4,0.018344819039975157,-0.20100120537744198,0
129,LAZOVIC Barbara,0,1,1,1,4,2,1,0,1,0,0,0,2,6,0,1,2,1,3,0,1,6,0.05829984610970421,-0.003815613108955785,3
130,LEKIC Andrea,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,-0.3465487287483567,-0.05263719369819528,1
131,LEYNAUD Amandine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,-0.40333412562842885,-0.1284264944579221,1
132,LINDQVIST Emma,0,0,0,1,3,4,7,0,1,0,0,0,4,1,0,6,7,1,2,0,5,13,0.5301194971150109,-0.016412596581070533,4
133,LISCEVIC Kristina,1,2,3,3,0,1,1,2,0,0,0,0,1,4,0,0,11,1,0,0,0,10,0.09825147843576477,-0.31123246749789146,0
134,LJEPOJA Natasa,0,0,6,5,0,0,0,0,1,0,0,0,0,1,0,2,2,2,1,0,1,1,-0.07666384550399148,-0.0020434046953531943,0
135,LOKE Heidi,0,0,6,3,0,3,0,0,1,1,0,0,0,0,0,0,9,10,2,1,1,1,0.16208513369034216,0.24362656060259197,3
136,LOPEZ Marta,0,0,0,0,4,7,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,4,-0.1492927972380016,0.3255490335377508,2
137,LOPEZ Soledad,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.30430562899427355,0.09973538225553444,2
138,LOTT Annika,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.41782702549372525,-0.1057079888644626,1
139,LUKACS Viktoria,0,0,0,0,8,10,0,0,9,2,0,0,0,0,0,0,1,1,2,0,1,3,-0.030070127854485238,0.6403109008292511,2
140,LUND Laura Damgaard,0,0,1,0,2,1,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,-0.32655581141293966,-0.07473199305929014,1
141,LUNDE Katrine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.41790415547397597,-0.12088871082292423,1
142,LUNDSTROM Mathilda,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,2,0,3,0,1,3,-0.1732276380300324,0.09982786581444764,3
143,MAIDHOF Julia,8,3,1,1,2,2,4,3,3,0,0,0,6,13,0,1,12,1,1,0,4,17,0.6616574560794588,-0.4212534435288997,4
144,MAKEEVA Kseniia,0,0,10,4,2,2,0,0,0,0,0,0,0,0,0,4,1,2,8,6,3,9,0.48938890895423426,0.26944729005343176,4
145,MALA Veronika,0,0,1,0,7,1,1,0,1,1,0,0,0,0,0,0,2,4,1,0,2,4,-0.0341936969401967,0.21960812417148895,3
146,MALASHENKO Elizaveta,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.4202399478040751,-0.1253249650908717,1
147,MALESTEIN Angela,6,1,1,0,13,15,0,0,7,1,0,0,0,0,0,1,3,2,5,0,0,5,0.23474873992493953,0.8393197470513409,2
148,MAMIC Josipa,0,0,0,1,11,5,0,0,1,0,0,0,0,0,0,1,1,2,1,0,4,1,-0.00688878566353887,0.3964859542211377,2
149,MANAGAROVA Iuliia,0,0,2,0,11,2,1,0,10,4,0,2,0,0,0,0,4,4,3,0,1,5,0.21117328066863297,0.7554231116062686,2
150,MANAKOVA Petra,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,-0.255404132806371,-0.06171167476748097,0
151,MARCIKOVA Sarka,1,2,1,0,1,2,0,0,0,0,0,0,2,2,0,0,2,0,1,0,2,4,-0.1346880155689683,-0.09994294827653527,0
152,MARTIN Carmen,19,3,2,1,10,7,0,0,1,1,0,0,0,1,0,2,3,3,1,0,3,8,0.37396226414975026,0.3326587066533313,3
153,MARTON Greta,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,-0.21247589293353394,0.17742675713489608,2
154,MASLOVA Valeriia,0,0,1,1,2,1,1,0,0,0,0,0,1,7,0,1,9,2,1,0,0,4,-0.041240514445646075,-0.1397612186610272,0
155,MAZAREANU Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.38315221463361304,-0.13900803045910468,1
156,MEHMEDOVIC Majda,0,0,2,0,11,12,1,0,5,2,0,0,0,0,0,0,7,3,5,0,3,2,0.24355669280045902,0.8539680269192231,2
157,MICIJEVIC Camila,0,0,3,1,2,2,2,0,0,0,0,0,28,29,0,4,24,1,5,13,7,22,1.4757092968824985,-0.6436214476196364,4
158,MIKULASKOVA Veronika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.41123867579144935,-0.10519270695010201,1
159,MILOJEVIC Jovana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.3846862976378415,-0.10003818323440461,1
160,MILOSAVLJEVIC Dejana,0,0,0,1,1,0,1,0,0,1,0,0,2,5,0,0,4,1,0,0,1,8,-0.05795084526309363,-0.16285204790787883,0
161,MINEVSKAJA Evgenija,5,7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-0.1961608913704579,-0.2772555560405381,0
162,MORK Nora,29,6,2,0,8,6,6,2,1,0,0,0,6,4,0,0,25,8,4,0,1,11,0.8765478461354879,-0.019678153713117996,4
163,MUGOSA Dijana,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,-0.28506351251311757,-0.040143211305075345,0
164,NAIDZINAVICIUS Kim,1,2,1,0,0,0,2,2,0,2,0,0,5,9,0,2,15,0,2,6,3,7,0.38471312106406247,-0.20850189893943574,0
165,NAVARRO Silvia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,-0.36976078645422544,0.022674750509255312,0
166,NEAGU Cristina,8,4,2,1,1,1,0,2,1,2,0,0,15,30,0,0,29,1,0,0,0,14,0.7680266114613007,-0.7237053474320165,4
167,NENEZIC Ljubica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.43892263335554416,-0.10994460509608454,1
168,NIAKATE Kalidiatou,0,0,2,1,5,1,2,0,0,0,0,0,6,8,0,2,6,6,2,2,3,5,0.3438844929994077,-0.006632098414852401,4
169,NIKOLIC Zeljka,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3593580101819356,0.0812134292116208,2
170,NOCANDY Meline,0,0,1,3,0,2,2,0,1,0,0,0,2,3,0,1,5,4,1,0,4,6,0.17964974612376838,-0.036358478149719854,3
171,NOCUN Dagmara,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.3488755904392827,-0.010233526631180235,0
172,NOSEK Natalia,0,0,0,0,2,0,0,0,0,0,0,0,5,13,0,1,5,1,0,0,1,8,0.045140277030715235,-0.33352206215212254,0
173,NOVOTNA Sabrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
174,NUSSER Larissa,0,0,1,1,0,1,5,3,1,1,0,0,4,4,0,1,8,1,2,0,2,8,0.19557485700023364,-0.1439629430689124,0
175,NZE MINKO Estelle,0,0,3,5,6,3,2,1,11,1,0,0,4,5,0,1,12,3,9,1,2,15,0.7624841490428667,0.3648149875904227,4
176,OFTEDAL Stine,0,0,1,3,1,3,18,9,3,2,0,0,8,11,0,1,41,5,0,0,1,19,1.108416109303446,-0.4821364948069248,4
177,OMOREGIE Elizabeth,0,0,1,1,4,1,1,0,0,0,0,0,1,4,0,3,5,2,1,0,0,5,0.005812951516240608,-0.051430490152074654,0
178,OSTASE Lorena,0,0,19,4,3,2,0,0,2,2,1,0,1,0,0,2,8,5,3,4,4,8,0.5932447055240196,0.4028424424167508,4
179,PANDZIC Amra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
180,PEDERSEN Larke Nolsoe,0,0,0,0,19,6,0,0,4,3,0,0,0,0,0,1,4,3,5,0,4,1,0.28249540149012564,0.9776753175642964,2
181,PENA Nerea,7,1,0,2,2,4,2,0,0,0,0,0,11,15,0,1,27,4,0,0,1,20,0.7504654069380066,-0.5054099284208202,4
182,PETREN Melissa,3,2,2,2,0,2,0,0,0,0,0,0,7,18,0,1,5,0,0,0,1,4,0.10981028900894543,-0.3921815608244861,0
183,PIJEVIC Tea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,2,-0.3320522303582888,-0.036865227872121015,1
184,PLACZEK Adrianna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.42518917039674947,-0.11711981900542531,1
185,PLETIKOSIC Matea,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,7,2,0,0,0,11,-0.03432226593234834,-0.17378038309190239,0
186,POLASKOVA Silvie,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,0,0,0,0,1,-0.3236854743382678,-0.1763798651996747,0
187,POLOCOSER Anca,0,0,0,1,1,1,1,0,0,0,0,0,6,4,0,1,1,1,0,2,1,5,-0.08101608093747827,-0.18536156125163786,0
188,POP-LAZIC Sladana,0,0,5,1,0,0,1,1,1,0,0,0,1,0,0,1,7,5,4,0,1,5,0.10829918166924037,0.01952840652466489,3
189,POPA Andreea,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5,3,0,0,2,5,-0.08632679671398831,-0.10192753527841443,0
190,POPA Laura,0,0,0,0,6,5,0,1,0,0,0,0,1,6,0,6,1,0,0,1,2,6,0.15443333902225675,0.04194664680191325,3
191,POSAVEC Paula,0,0,0,0,5,4,0,0,2,2,0,0,0,0,0,1,0,1,0,0,3,0,-0.1488289169591838,0.3355722900787636,2
192,POSAVEC Stela,2,0,0,0,3,1,5,0,1,0,0,0,0,4,0,2,8,2,3,0,0,11,0.17597954294213797,-0.1037265030897178,0
193,PRKACIN Kristina,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.40689003256843714,-0.13730326876600804,1
194,RADICEVIC Jovanka,19,2,2,2,9,11,1,0,8,3,0,1,0,0,0,2,2,0,8,0,0,7,0.45789769699583327,0.8571593422658321,2
195,RADOJEVIC Dijana,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.34356999383626285,0.06256920488187954,2
196,RADOSAVLJEVIC Sanja,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,-0.19198335521417112,0.2160948170607371,2
197,RAMUSOVIC Ema,0,0,8,1,6,0,0,0,1,0,0,1,0,0,0,3,1,1,0,1,2,3,-0.02660065893702101,0.12309144934773951,3
198,RASK Emma,0,0,0,0,11,7,0,0,1,0,0,0,0,0,0,1,2,3,3,0,1,6,0.07797693683296922,0.4191365264978764,2
199,REINHARDT Althea Rebecca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
200,REISTAD Henny,0,0,4,1,3,1,12,3,5,0,0,0,5,10,0,6,15,5,3,3,5,6,0.8139917586281757,-0.0847592599894774,4
201,RISOVIC Jovana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.42001591539962096,-0.07545207163203467,1
202,ROBERTS Jamina,0,0,2,4,3,1,2,2,0,0,0,0,5,3,0,1,9,2,1,0,0,4,0.06660893514674043,-0.10947185262631756,0
203,ROCH Isabell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.43892263335554416,-0.10994460509608454,1
204,RODRIGUEZ Almudena,0,0,0,0,2,2,1,1,0,0,0,0,5,2,0,3,5,3,0,0,1,7,0.08026452798421796,-0.1329343330348408,0
205,ROSIAK Aleksandra,1,1,0,1,1,2,4,1,1,0,0,0,7,4,0,0,5,0,1,0,0,9,0.031005923598124333,-0.256701537183481,0
