,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,AS,R7,ST,BS,P7,TO,PC1,PC2,cluster
244,TOTH Eszter,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.36235559852105587,-0.09940612220079495,1
245,TOVIZI Petra,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,1,5,5,0,2,2,1,-0.05022956281078905,-0.014872760917109247,0
246,TRANBORG Mette,0,0,0,2,6,3,1,1,0,0,0,0,12,16,0,7,7,3,2,2,1,13,0.7136322951828555,-0.22966704627034873,4
247,TRIFUNOVIC Jelena,3,0,1,0,2,1,0,0,0,0,0,0,1,3,0,1,1,1,1,1,1,1,-0.20438204005593633,-0.032865495668542556,0
248,UJKIC Dijana,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,-0.2999276028394111,0.03972358059342603,2
249,USCINOWICZ Paulina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
250,VALENTINI Chloe,0,0,0,0,8,3,0,0,4,4,0,0,0,0,0,0,3,0,5,0,3,2,0.05373623386991358,0.6532805375104811,2
251,VEDEKHINA Polina,0,0,2,0,4,2,2,1,1,1,0,0,12,10,0,0,6,0,1,1,1,10,0.20065951062659493,-0.19572941682425074,0
252,VIDAK Marijeta,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,7,-0.20578739367044974,-0.25748049327681244,0
253,VOJNOVIC Maja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
254,VUCKO Hana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
255,VUKCEVIC Nikolina,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,-0.251162243268726,-0.05509366638548952,0
256,WEIGEL Maren,0,0,1,1,0,0,1,0,0,0,0,0,1,3,0,0,4,0,0,0,0,4,-0.2597044178379758,-0.20318254844183087,0
257,WESTER Tess,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,-0.3380620522421695,-0.07817040551985455,1
258,WOLOSZYK Joanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.41123867579144935,-0.10519270695010201,1
259,ZAADI DEUNA Grace,5,4,7,3,2,0,2,2,0,0,0,0,6,11,1,8,20,2,4,4,4,15,1.1246554424545256,-0.3504177257180942,4
260,ZABJEK Nina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,-0.30053562977129794,-0.05600096261798281,0
261,ZACHOVA Dominika,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.416487372693985,-0.0905015176616546,1
262,ZAPF Marlene,0,0,0,0,11,4,0,0,2,1,0,0,0,0,0,2,3,2,2,0,3,2,0.05372229790495782,0.4467026705115874,2
263,ZEC Branka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858562,1
264,ZULIC Nina,0,0,0,1,1,2,0,1,0,0,0,0,3,4,0,1,3,0,1,0,0,4,-0.15170660448493845,-0.13020462895693682,0
265,ZYCH Aleksandra,0,0,0,0,0,2,1,0,0,0,0,0,3,6,0,2,2,0,1,3,1,5,-0.0533552150615826,-0.16946321135497872,0
266,van KREIJ Harma,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.4309774799342402,-0.08624893625893776,1
267,van WETERING Bo,0,0,0,0,12,15,0,0,6,2,0,0,0,0,0,0,2,1,7,0,1,3,0.1727922033399089,0.9854267073703525,2
268,van der HEIJDEN Laura,0,0,0,0,5,1,7,4,0,0,0,0,9,14,0,1,11,5,1,0,2,10,0.5078694100161433,-0.3163248484568402,4
269,van der VLIET Nikita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858562,1
